thermal_demand,electricity_price,co2_price,gas_price
0.207773632,244,84.03,79.422
0.214078878,256.49,84.03,79.422
0.225249155,273.57,84.03,79.422
0.240515952,307.38,84.03,79.422
0.25029018,341.85,84.03,79.422
0.238901368,315.31,84.03,79.422
0.221159505,274.98,84.03,79.422
0.183937935,250,84.03,79.422
0.126900231,226.81,84.03,79.422
0.121386127,206.92,84.03,79.422
0.115486034,215.98,84.03,91.752
0.117921755,212.9,84.03,91.752
0.123329936,203.75,84.03,91.752
0.1367883,196.24,84.03,91.752
0.170946628,198.99,84.03,91.752
0.235236598,219.03,84.03,91.752
0.278340229,279.96,84.03,91.752
0.260614955,356.24,84.03,91.752
0.240669952,399.85,84.03,91.752
0.224084256,399.01,84.03,91.752
0.206696976,360,84.03,91.752
0.196711334,347.4,84.03,91.752
0.191440502,328.92,84.03,91.752
0.191552828,305,84.03,91.752
0.193946002,310,84.03,91.752
0.199831625,313,84.03,91.752
0.210258505,318.67,84.03,91.752
0.224509275,366.43,84.03,91.752
0.233633013,399.06,84.03,91.752
0.223002143,373.75,84.03,91.752
0.206441027,309.68,84.03,91.752
0.171696604,265,84.03,91.752
0.118454841,240.89,84.03,91.752
0.113307708,215.17,84.03,91.752
0.12371976,209.57,84.03,93.457
0.126329139,212.36,84.03,93.457
0.132122902,215.41,84.03,93.457
0.146540798,209.89,84.03,93.457
0.183134488,209.14,84.03,93.457
0.252008094,215.09,84.03,93.457
0.298184854,240.16,84.03,93.457
0.279195833,294.88,84.03,93.457
0.257828826,312.32,84.03,93.457
0.240060631,312.69,84.03,93.457
0.221433703,300.02,84.03,93.457
0.210736122,282.65,84.03,93.457
0.205089499,259.68,84.03,93.457
0.205209834,241.54,84.03,93.457
0.207773632,238.24,84.03,93.457
0.214078878,236.76,84.03,93.457
0.225249155,240.11,84.03,93.457
0.240515952,268.08,84.03,93.457
0.25029018,262.46,84.03,93.457
0.238901368,224.45,84.03,93.457
0.221159505,217.43,84.03,93.457
0.183937935,171.34,84.03,93.457
0.126900231,142.94,84.03,93.457
0.121386127,122.34,84.03,93.457
0.104832508,131.59,84.03,91.861
0.108204856,115.02,84.03,91.861
0.114463391,108.65,84.03,91.861
0.133149289,100.94,84.03,91.861
0.180988527,103.06,84.03,91.861
0.241971248,110.03,84.03,91.861
0.267376211,104.03,84.03,91.861
0.250999166,138.79,84.03,91.861
0.225141341,138.23,84.03,91.861
0.20477773,128.79,84.03,91.861
0.18743115,128.74,84.03,91.861
0.175142791,127.8,84.03,91.861
0.168607584,126.24,84.03,91.861
0.166768995,135.78,84.03,91.861
0.169038519,139.66,84.03,91.861
0.17614313,138.69,84.03,91.861
0.191318781,137.58,84.03,91.861
0.207769005,141.17,84.03,91.861
0.21792506,125.96,84.03,91.861
0.208694534,114.73,84.03,91.861
0.189140818,104.04,84.03,91.861
0.151801583,110.1,84.03,91.861
0.108903433,101.19,84.03,91.861
0.102665061,86.31,84.03,91.861
0.096630853,82.03,84.03,92.469
0.099739363,84.03,84.03,92.469
0.105508256,81.59,84.03,92.469
0.122732248,77.26,84.03,92.469
0.166828745,100.7,84.03,92.469
0.223040434,100.69,84.03,92.469
0.24645782,121.69,84.03,92.469
0.231362047,175.29,84.03,92.469
0.207527229,186.17,84.03,92.469
0.188756782,198.05,84.03,92.469
0.172767325,190.92,84.03,92.469
0.161440355,220.07,87.94,92.469
0.155416436,214.74,89.25,92.469
0.15372169,231.6,89.25,92.469
0.155813656,233.67,89.25,92.469
0.162362432,237.08,89.25,92.469
0.176350804,237.92,89.25,92.469
0.191514031,260,89.25,92.469
0.200875519,255.6,89.25,92.469
0.192367151,222.37,89.25,92.469
0.174343236,222.74,89.25,92.469
0.139925266,177.8,89.25,92.469
0.100383287,148.98,89.25,92.469
0.094632979,123.36,89.25,92.469
0.104832508,130.25,89.25,92.726
0.108204856,115.01,89.25,92.726
0.114463391,105.64,89.25,92.726
0.133149289,77.57,89.25,92.726
0.180988527,43.95,89.25,92.726
0.241971248,79.07,89.25,92.726
0.267376211,32.94,89.25,92.726
0.250999166,85.64,89.25,92.726
0.225141341,85.18,89.25,92.726
0.20477773,101.13,89.25,92.726
0.18743115,88.51,89.25,92.726
0.175142791,118.32,89.25,92.726
0.168607584,101.02,89.25,92.726
0.166768995,85.64,89.25,92.726
0.169038519,105.59,89.25,92.726
0.17614313,100.01,89.25,92.726
0.191318781,108.14,89.25,92.726
0.207769005,118.75,89.25,92.726
0.21792506,123.02,89.25,92.726
0.208694534,101.19,89.25,92.726
0.189140818,84.47,89.25,92.726
0.151801583,51.62,89.25,92.726
0.108903433,88.81,89.25,92.726
0.102665061,79.63,89.25,92.726
0.131751677,2.3,89.25,92.726
0.134530457,4.49,89.25,92.726
0.140700353,10.08,89.25,92.726
0.156054262,10.01,89.25,92.726
0.195023624,10.15,89.25,92.726
0.268368522,11.37,89.25,92.726
0.317543088,3.73,89.25,92.726
0.297321295,9.95,89.25,92.726
0.274567137,11.09,89.25,92.726
0.255645426,11.98,89.25,92.726
0.235809233,11.09,89.25,92.726
0.224417163,11.78,89.25,92.726
0.218403959,10,89.25,92.726
0.218532107,10,89.25,92.726
0.221262347,11.69,89.25,92.726
0.227976931,14.04,89.25,92.726
0.239872386,60.06,89.25,92.726
0.256130307,171.74,89.25,92.726
0.26653908,158.07,89.25,92.726
0.254410904,163.37,89.25,92.726
0.235517235,157.94,89.25,92.726
0.19587923,158.13,89.25,92.726
0.135138625,159.94,89.25,92.726
0.129266544,144.21,89.25,92.726
0.12371976,122.16,89.25,92.831
0.126329139,110.17,89.25,92.831
0.132122902,105.3,89.25,92.831
0.146540798,100,89.25,92.831
0.183134488,100.13,89.25,92.831
0.252008094,135.4,89.25,92.831
0.298184854,185.14,89.25,92.831
0.279195833,240,89.25,92.831
0.257828826,248.92,89.25,92.831
0.240060631,251.92,89.25,92.831
0.221433703,248.08,89.25,92.831
0.210736122,243.42,89.25,92.831
0.205089499,238.11,89.25,92.831
0.205209834,221.52,89.25,92.831
0.207773632,206.28,89.25,92.831
0.214078878,191.75,89.25,92.831
0.225249155,193.54,89.25,92.831
0.240515952,240.67,89.25,92.831
0.25029018,253.93,89.25,92.831
0.238901368,240.4,89.25,92.831
0.221159505,231.59,89.25,92.831
0.183937935,212.96,89.25,92.831
0.126900231,201.96,89.25,92.831
0.121386127,161.51,89.25,92.831
0.131751677,160.15,89.25,86.425
0.134530457,154.54,89.25,86.425
0.140700353,156.24,89.25,86.425
0.156054262,155.17,89.25,86.425
0.195023624,165.13,89.25,86.425
0.268368522,163.01,89.25,86.425
0.317543088,206.15,89.25,86.425
0.297321295,239.17,89.25,86.425
0.274567137,243.72,89.25,86.425
0.255645426,213,89.25,86.425
0.235809233,209.94,89.25,86.425
0.224417163,172.81,89.25,86.425
0.218403959,143.7,89.25,86.425
0.218532107,137.69,89.25,86.425
0.221262347,130.9,89.25,86.425
0.227976931,126.42,89.25,86.425
0.239872386,124.2,89.25,86.425
0.256130307,127.37,89.25,86.425
0.26653908,129.95,89.25,86.425
0.254410904,121.63,89.25,86.425
0.235517235,101.03,89.25,86.425
0.19587923,84.66,89.25,86.425
0.135138625,84.61,89.25,86.425
0.129266544,54.74,89.25,86.425
0.12371976,35.54,89.25,76.484
0.126329139,11.84,89.25,76.484
0.132122902,10.05,89.25,76.484
0.146540798,10.36,89.25,76.484
0.183134488,20.03,89.25,76.484
0.252008094,67.31,89.25,76.484
0.298184854,105.03,89.25,76.484
